epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2917.88,1.25629,0.59246,0.01371,0.91026,0.80477,0.88101,0.65301,1.52486,0.93416,0.02007,0.000492625,0.000492625,0.000492625
43,2987.01,1.23889,0.57531,0.01352,0.91298,0.82049,0.89093,0.67623,1.50823,0.90344,0.01961,0.00048025,0.00048025,0.00048025
44,3056.07,1.24387,0.57638,0.0135,0.88924,0.83993,0.89094,0.66811,1.4914,0.89968,0.01922,0.000467875,0.000467875,0.000467875
45,3124.97,1.2185,0.55414,0.01321,0.89276,0.82579,0.87559,0.65848,1.50788,0.90143,0.01965,0.0004555,0.0004555,0.0004555
46,3193.56,1.22238,0.54666,0.01299,0.89447,0.83482,0.88671,0.67192,1.48896,0.91426,0.01946,0.000443125,0.000443125,0.000443125
47,3262.24,1.20263,0.54664,0.0129,0.88595,0.84568,0.88221,0.68263,1.47733,0.8942,0.01911,0.00043075,0.00043075,0.00043075
48,3330.84,1.19791,0.54639,0.01276,0.87119,0.8329,0.87274,0.66381,1.50769,0.92768,0.01947,0.000418375,0.000418375,0.000418375
49,3399.51,1.19221,0.53745,0.01263,0.8961,0.84189,0.87936,0.67351,1.51222,0.90909,0.0194,0.000406,0.000406,0.000406
50,3468.3,1.17895,0.5193,0.01256,0.89553,0.83092,0.88309,0.65954,1.49494,0.92567,0.01927,0.000393625,0.000393625,0.000393625
51,3537.05,1.17321,0.5236,0.0124,0.90698,0.80662,0.87028,0.66616,1.49937,0.93283,0.01956,0.00038125,0.00038125,0.00038125
52,3606.01,1.16591,0.51725,0.01209,0.90568,0.81632,0.86665,0.66269,1.48503,0.92613,0.01927,0.000368875,0.000368875,0.000368875
53,3674.56,1.16273,0.51042,0.01231,0.88171,0.83995,0.86674,0.67153,1.48527,0.9471,0.01931,0.0003565,0.0003565,0.0003565
54,3743.42,1.16624,0.50471,0.01238,0.88452,0.81109,0.86105,0.66662,1.49188,0.95816,0.01936,0.000344125,0.000344125,0.000344125
55,3812.04,1.15226,0.50374,0.01206,0.88739,0.82735,0.87247,0.66761,1.5015,0.93301,0.01954,0.00033175,0.00033175,0.00033175
56,3880.84,1.13932,0.49062,0.01189,0.9035,0.80256,0.86341,0.66772,1.49609,0.93628,0.01949,0.000319375,0.000319375,0.000319375
57,3949.82,1.13982,0.49407,0.0119,0.8959,0.83834,0.87664,0.66374,1.51087,0.93423,0.0194,0.000307,0.000307,0.000307
58,4018.58,1.12913,0.49266,0.01175,0.8834,0.84371,0.87804,0.67243,1.47385,0.93981,0.01903,0.000294625,0.000294625,0.000294625
59,4087.52,1.135,0.47847,0.0117,0.88545,0.85607,0.86603,0.66272,1.50856,0.91032,0.01958,0.00028225,0.00028225,0.00028225
60,4156.16,1.12195,0.47908,0.01167,0.90788,0.83915,0.87962,0.67044,1.50055,0.92352,0.0194,0.000269875,0.000269875,0.000269875
61,4225.12,1.11084,0.47443,0.01138,0.88015,0.84271,0.8667,0.66982,1.48783,0.94161,0.01913,0.0002575,0.0002575,0.0002575
62,4293.94,1.10812,0.4758,0.01146,0.89243,0.82611,0.86445,0.66873,1.49938,0.94703,0.01936,0.000245125,0.000245125,0.000245125
63,4362.49,1.10585,0.46023,0.01151,0.87704,0.85058,0.86952,0.66887,1.48894,0.93855,0.01915,0.00023275,0.00023275,0.00023275
64,4431.4,1.09471,0.46939,0.01135,0.87395,0.84288,0.86641,0.67332,1.49148,0.92335,0.01945,0.000220375,0.000220375,0.000220375
65,4500.58,1.08677,0.45381,0.01104,0.86445,0.84546,0.86501,0.66169,1.50337,0.91259,0.01956,0.000208,0.000208,0.000208
